auction_name,auction_slug,period_date,winning_bid_max,winning_bid_min,winning_bid_mean,trading_volume,lots_count,all_auctions_lots_count
Australian Whisky Auctions,australian-whisky-auctions,2021-11-01 00:00:00+00,4078,6,241.85,120684,499,50235
Australian Whisky Auctions,australian-whisky-auctions,2022-01-01 00:00:00+00,10750,3,266.01,200043,752,37474
Australian Whisky Auctions,australian-whisky-auctions,2022-02-01 00:00:00+00,4218,16,268.45,118924,443,44602
Australian Whisky Auctions,australian-whisky-auctions,2022-03-01 00:00:00+00,3060,28,281.94,153096,543,46544
Australian Whisky Auctions,australian-whisky-auctions,2022-04-01 00:00:00+00,4544,23,273.62,112459,411,50951
Australian Whisky Auctions,australian-whisky-auctions,2022-05-01 00:00:00+00,4711,9,277.79,161121,580,45291
Australian Whisky Auctions,australian-whisky-auctions,2022-06-01 00:00:00+00,5639.4,22.6,287.48,122464.6,426,43553
Australian Whisky Auctions,australian-whisky-auctions,2022-07-01 00:00:00+00,7764.4,2.3,280.71,248424.9,885,47042
Australian Whisky Auctions,australian-whisky-auctions,2022-08-01 00:00:00+00,5276.1,11.7,279.31,136864.3,490,40649
Australian Whisky Auctions,australian-whisky-auctions,2022-09-01 00:00:00+00,12392.4,10,351.64,136786.4,389,55429
Australian Whisky Auctions,australian-whisky-auctions,2022-10-01 00:00:00+00,4379.7,11.2,287.59,139483.2,485,49660
Australian Whisky Auctions,australian-whisky-auctions,2022-11-01 00:00:00+00,3901.7,0.6,211.74,196920,930,55340
Australian Whisky Auctions,australian-whisky-auctions,2023-01-01 00:00:00+00,4854.7,5.8,250.37,217074.6,867,39650
Australian Whisky Auctions,australian-whisky-auctions,2023-02-01 00:00:00+00,11625.9,11.3,232.06,210714.6,908,41735
Australian Whisky Auctions,australian-whisky-auctions,2023-03-01 00:00:00+00,6580.1,10.4,237.31,190556.2,803,51697
Australian Whisky Auctions,australian-whisky-auctions,2023-04-01 00:00:00+00,9178.6,3.2,302.18,230868.8,764,37629
Australian Whisky Auctions,australian-whisky-auctions,2023-05-01 00:00:00+00,7396.3,1.1,233.88,154363.2,660,44950
Australian Whisky Auctions,australian-whisky-auctions,2023-06-01 00:00:00+00,11980.3,8,236.57,224738.6,950,45412
Australian Whisky Auctions,australian-whisky-auctions,2023-07-01 00:00:00+00,6817.6,8.9,223.53,271587.9,1215,33595
Bonhams Whisky Auction,bonhams,2008-11-01 00:00:00+00,3400,40,243.25,92190,379,2282
Bonhams Whisky Auction,bonhams,2009-03-01 00:00:00+00,1550,30,197.53,76840,389,1773
Bonhams Whisky Auction,bonhams,2009-06-01 00:00:00+00,3600,30,315.88,107400,340,1988
Bonhams Whisky Auction,bonhams,2009-08-01 00:00:00+00,2600,50,340.6,39850,117,1671
Bonhams Whisky Auction,bonhams,2009-11-01 00:00:00+00,23000,40,346.65,174020,502,2329
Bonhams Whisky Auction,bonhams,2009-12-01 00:00:00+00,4658,38,403.59,241753,599,2559
Bonhams Whisky Auction,bonhams,2010-03-01 00:00:00+00,7500,40,333.33,108664,326,1857
Bonhams Whisky Auction,bonhams,2010-06-01 00:00:00+00,21000,40,342.63,265194,774,2197
Bonhams Whisky Auction,bonhams,2010-08-01 00:00:00+00,18000,50,1571.11,163395,104,1876
Bonhams Whisky Auction,bonhams,2010-11-01 00:00:00+00,5500,20,261.51,123695,473,2372
Bonhams Whisky Auction,bonhams,2010-12-01 00:00:00+00,7708,61,511.63,133024,260,1663
Bonhams Whisky Auction,bonhams,2011-03-01 00:00:00+00,15000,20,350.36,139795,399,2237
Bonhams Whisky Auction,bonhams,2011-04-01 00:00:00+00,13875,80,637.69,181105,284,2108
Bonhams Whisky Auction,bonhams,2011-06-01 00:00:00+00,3200,30,437.96,118250,270,3060
Bonhams Whisky Auction,bonhams,2011-08-01 00:00:00+00,4000,40,281.39,22230,79,1987
Bonhams Whisky Auction,bonhams,2011-10-01 00:00:00+00,15000,20,581.16,140640,242,2933
Bonhams Whisky Auction,bonhams,2011-12-01 00:00:00+00,38000,40,466.03,309911,665,3421
Bonhams Whisky Auction,bonhams,2012-03-01 00:00:00+00,10000,40,522.23,151970,291,2689
Bonhams Whisky Auction,bonhams,2012-05-01 00:00:00+00,10941,397,2402.95,103327,43,3015
Bonhams Whisky Auction,bonhams,2012-06-01 00:00:00+00,14000,40,541.52,272928,504,3154
Bonhams Whisky Auction,bonhams,2012-08-01 00:00:00+00,4500,50,405.76,32055,79,2782
Bonhams Whisky Auction,bonhams,2012-10-01 00:00:00+00,8479,50,587.45,372444,634,3718
Bonhams Whisky Auction,bonhams,2012-11-01 00:00:00+00,17904,188,2170.18,286464,132,3870
Bonhams Whisky Auction,bonhams,2012-12-01 00:00:00+00,5500,40,334.82,66965,200,3901
Bonhams Whisky Auction,bonhams,2013-02-01 00:00:00+00,7500,50,529.07,165070,312,4084
Bonhams Whisky Auction,bonhams,2013-04-01 00:00:00+00,26209,46,807.81,166409,206,4402
Bonhams Whisky Auction,bonhams,2013-05-01 00:00:00+00,10941,278,1592.68,159268,100,3798
Bonhams Whisky Auction,bonhams,2013-06-01 00:00:00+00,5000,60,434.73,123030,283,5024
Bonhams Whisky Auction,bonhams,2013-08-01 00:00:00+00,6000,280,865.71,24240,28,5223
Bonhams Whisky Auction,bonhams,2013-10-01 00:00:00+00,9250,40,509.42,302087,593,6108
Bonhams Whisky Auction,bonhams,2013-11-01 00:00:00+00,17904,169,1523.85,135623,89,6059
Bonhams Whisky Auction,bonhams,2013-12-01 00:00:00+00,11000,60,611.28,114310,187,6365
Bonhams Whisky Auction,bonhams,2014-02-01 00:00:00+00,13000,70,621.08,115520,186,5556
