id,name,distillery,brand,category,age_statement,proof,size_ml,release_year,is_limited_release,is_allocated,msrp,avg_price,min_price,max_price,last_price,last_price_date,price_count,price_trend,created_at,updated_at
761,"""Back To Our Roots"" 25 Year Old Blended Scotch Private Stock",,,SCOTCH_SINGLE_MALT,,,700,,f,f,,219.08,219.08,219.08,219.08,2026-01-19 23:24:27.848274+00,1,,2026-01-19 23:24:27.841054+00,2026-01-19 23:24:27.841054+00
741,"""Navy Style"" Blended Caribbean Rum Kill Devil",,,SCOTCH_SINGLE_MALT,,,700,,f,f,,109.54,109.54,109.54,109.54,2026-01-19 23:24:11.792147+00,1,,2026-01-19 23:24:11.786694+00,2026-01-19 23:24:11.786694+00
754,' Ledaig ' Tobermory 2008 14 Year Old Claxton's,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,116.84,116.84,116.84,116.84,2026-01-19 23:24:23.689784+00,1,,2026-01-19 23:24:23.684984+00,2026-01-19 23:24:23.684984+00
713,'Glen Tourette' 13 Year Old North Star Meeting Of The Minds For www.hielander.com,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,138.745,116.84,160.65,160.65,2026-01-19 23:24:47.452437+00,2,,2026-01-19 23:23:52.148945+00,2026-01-19 23:23:52.148945+00
724,'Merry Christmas' Highland Single Malt 12 Year Old Whisky Connoisseur,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,73.02,73.02,73.02,73.02,2026-01-19 23:24:00.268892+00,1,,2026-01-19 23:24:00.265419+00,2026-01-19 23:24:00.265419+00
674,'On A Saw Mill' 10 Year Old Islay Blended Malt,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,149.70000000000002,131.44,175.26,160.65,2026-01-19 23:25:15.245407+00,8,,2026-01-19 23:23:32.689944+00,2026-01-19 23:23:32.689944+00
806,'TI Girl' Tiger's Choice 6 x 70cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,2774.95,2774.95,2774.95,2774.95,2026-01-19 23:25:07.117256+00,1,,2026-01-19 23:25:07.112325+00,2026-01-19 23:25:07.112325+00
194,'Three Cheers from Stanley P. Morrison Ltd.' Minis Set 3 x 5cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,29.21,29.21,29.21,29.21,2026-01-19 23:14:07.33234+00,1,,2026-01-19 23:14:07.328134+00,2026-01-19 23:14:07.328134+00
765,'Whisky Taste' Blend 19 Year Old Creative Whisky Co,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,182.00153846153842,102.23,233.68,175.26,2026-01-19 23:25:11.265228+00,13,,2026-01-19 23:24:31.78063+00,2026-01-19 23:24:31.78063+00
597,'Yer Aunt Fanny's Cat's Arsehole' Whiskyblender 50cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,113.185,94.93,131.44,131.44,2026-01-19 23:24:51.634513+00,2,,2026-01-19 23:22:51.201218+00,2026-01-19 23:22:51.201218+00
664,100 Pipers 20 Year Old 75cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,116.84,116.84,116.84,116.84,2026-01-19 23:23:28.820136+00,1,,2026-01-19 23:23:28.815895+00,2026-01-19 23:23:28.815895+00
807,100 Pipers 26 2/3 Fl Oz,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,73.02,73.02,73.02,73.02,2026-01-19 23:25:07.304645+00,1,,2026-01-19 23:25:07.29786+00,2026-01-19 23:25:07.29786+00
742,100 Pipers 75cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,43.81,43.81,43.81,43.81,2026-01-19 23:25:15.432597+00,2,,2026-01-19 23:24:11.97482+00,2026-01-19 23:24:11.97482+00
60,100 Pipers Black Watch,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,21.91,21.91,21.91,21.91,2026-01-19 23:12:09.127084+00,1,,2026-01-19 23:12:09.12334+00,2026-01-19 23:12:09.12334+00
725,100 Pipers The Original 26 2/3 Fl Oz,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,43.81,43.81,43.81,43.81,2026-01-19 23:24:00.457647+00,1,,2026-01-19 23:24:00.453042+00,2026-01-19 23:24:00.453042+00
195,"100 Pipers, Scotch Castle Over 3 Year Old, Cresthill Superior Blended, Scotch No 10",,,SCOTCH_SINGLE_MALT,,,700,,f,f,,94.93,94.93,94.93,94.93,2026-01-19 23:14:07.554108+00,1,,2026-01-19 23:14:07.550278+00,2026-01-19 23:14:07.550278+00
692,106 Sample Room Reserve 50cl,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,53.54833333333334,43.81,73.02,73.02,2026-01-19 23:24:32.162126+00,6,,2026-01-19 23:23:40.602166+00,2026-01-19 23:23:40.602166+00
782,12 Ouzo 1L,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,36.51,36.51,36.51,36.51,2026-01-19 23:25:03.091523+00,2,,2026-01-19 23:24:48.946873+00,2026-01-19 23:24:48.946873+00
811,12 Year Old Single Malt for Glenforsa Hotel,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,51.12,51.12,51.12,51.12,2026-01-19 23:25:11.452164+00,1,,2026-01-19 23:25:11.445668+00,2026-01-19 23:25:11.445668+00
693,135° Easy Hyogo Dry Gin,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,40.16,36.51,43.81,43.81,2026-01-19 23:23:41.163093+00,2,,2026-01-19 23:23:40.972467+00,2026-01-19 23:23:40.972467+00
685,150th Anniversary Of Birnam Highland Games Limited Edition Scotch Whisky,,,SCOTCH_SINGLE_MALT,,,700,,f,f,,233.68,204.47,262.89,262.89,2026-01-19 23:23:44.881346+00,2,,2026-01-19 23:23:36.601218+00,2026-01-19 23:23:36.601218+00
