id,name,normalized_name,distillery,category,brand,age_statement,size_ml,release_year,avg_price,min_price,max_price,price_count,created_at
4,Macallan 18 Year Old Sherry Oak,macallan_18_year_old_sherry_oak,Macallan,SCOTCH_SINGLE_MALT,,18,700,,442.27799999999996,400.05,484.5,20,2026-01-02 17:05:08.18888+00
5,Lagavulin 16 Year Old,lagavulin_16_year_old,Lagavulin,SCOTCH_SINGLE_MALT,,16,700,,252.72999999999993,228.6,276.86,20,2026-01-02 17:05:08.18888+00
6,Glenfiddich 12 Year Old,glenfiddich_12_year_old,Glenfiddich,SCOTCH_SINGLE_MALT,,12,700,,126.36499999999997,114.3,138.43,20,2026-01-02 17:05:08.18888+00
7,‘On A Saw Mill’ 10 Year Old Islay Blended Malt,‘on a saw mill’ 10 year old islay blended malt,,SCOTCH_SINGLE_MALT,,,700,,214.20333333333335,160.65,248.28,3,2026-01-19 23:10:16.36433+00
8,6th Avenue Straight Bourbon,6th avenue straight bourbon,,SCOTCH_SINGLE_MALT,,,700,,65.7225,65.7225,65.7225,1,2026-01-19 23:10:16.451772+00
9,A Highland Distillery 2009 13 Year Old ‘Smokestack Lightning’ Uncharted Whisky Co,a highland distillery 2009 13 year old ‘smokestack lightning’ uncharted whisky co,,SCOTCH_SINGLE_MALT,,,700,,85.8034375,65.72,116.84,8,2026-01-19 23:10:16.517916+00
10,A Speyside Distillery 2001 20 Year Old Captain Congener - Whisky Show 2021 With 3D Glasses,a speyside distillery 2001 20 year old captain congener - whisky show 2021 with 3d glasses,,SCOTCH_SINGLE_MALT,,,700,,125.1842857142857,109.54,131.445,7,2026-01-19 23:10:16.585199+00
11,A Drop Of The Irish Blackadder,a drop of the irish blackadder,,SCOTCH_SINGLE_MALT,,,700,,187.42666666666665,65.72,365.12,3,2026-01-19 23:11:23.943475+00
12,Aberfeldy 12 Year Old,aberfeldy 12 year old,,SCOTCH_SINGLE_MALT,,,700,,45.25394736842103,36.51,65.72,76,2026-01-19 23:11:24.232237+00
13,Aberfeldy 1989 CC,aberfeldy 1989 cc,,SCOTCH_SINGLE_MALT,,,700,,65.7225,43.81,80.33,4,2026-01-19 23:11:25.036618+00
14,Aberfeldy 1998 Single Cask #135,aberfeldy 1998 single cask #135,,SCOTCH_SINGLE_MALT,,,700,,255.59,255.59,255.59,1,2026-01-19 23:11:25.303056+00
15,Aberfeldy 21 Year Old,aberfeldy 21 year old,,SCOTCH_SINGLE_MALT,,,700,,112.19802083333333,80.33,197.17,96,2026-01-19 23:11:25.571199+00
16,Aberlour 10 Year Old,aberlour 10 year old,,SCOTCH_SINGLE_MALT,,,700,,35.153023255813956,21.91,65.72,43,2026-01-19 23:11:26.377119+00
17,Aberlour 10 Year Old In Tin & Aberlour Wooden Plaque,aberlour 10 year old in tin & aberlour wooden plaque,,SCOTCH_SINGLE_MALT,,,700,,124.14,124.14,124.14,1,2026-01-19 23:11:26.640978+00
18,Aberlour 12 Year Old Runrig At Edinburgh Castle,aberlour 12 year old runrig at edinburgh castle,,SCOTCH_SINGLE_MALT,,,700,,80.32499999999999,73.02,87.63,2,2026-01-19 23:11:26.90604+00
19,Aberlour 1988,aberlour 1988,,SCOTCH_SINGLE_MALT,,,700,,96.7575,65.72,138.75,4,2026-01-19 23:11:27.171182+00
20,Aberlour 1988 25 Year Old 15th Anniversary OMC,aberlour 1988 25 year old 15th anniversary omc,,SCOTCH_SINGLE_MALT,,,700,,248.28,248.28,248.28,1,2026-01-19 23:11:27.436913+00
21,Aberlour 200 Years Of Aberlour Village 12 Year Old,aberlour 200 years of aberlour village 12 year old,,SCOTCH_SINGLE_MALT,,,700,,148.67760000000004,124.14,204.47,25,2026-01-19 23:11:27.701172+00
22,Aberlour A'Bunadh Batch #12,aberlour a'bunadh batch #12,,SCOTCH_SINGLE_MALT,,,700,,146.86222222222221,109.54,189.87,9,2026-01-19 23:11:28.232488+00
23,Aberlour A'Bunadh Batch #42,aberlour a'bunadh batch #42,,SCOTCH_SINGLE_MALT,,,700,,127.79166666666667,73.02,306.7,6,2026-01-19 23:11:28.497709+00
24,Aberlour A'Bunadh Batch #46,aberlour a'bunadh batch #46,,SCOTCH_SINGLE_MALT,,,700,,78.86500000000001,58.42,102.23,10,2026-01-19 23:11:28.764055+00
25,Aberlour A'Bunadh Batch #49,aberlour a'bunadh batch #49,,SCOTCH_SINGLE_MALT,,,700,,73.02181818181818,65.72,94.93,11,2026-01-19 23:11:29.03397+00
26,1800 Anejo,1800 anejo,,SCOTCH_SINGLE_MALT,,,700,,58.42,58.42,58.42,1,2026-01-19 23:11:29.374817+00
27,Aberfeldy 12 Year Old 1L,aberfeldy 12 year old 1l,,SCOTCH_SINGLE_MALT,,,700,,58.84941176470587,43.81,94.93,17,2026-01-19 23:11:30.174407+00
28,Aberfeldy 1988 CC,aberfeldy 1988 cc,,SCOTCH_SINGLE_MALT,,,700,,73.02,73.02,73.02,1,2026-01-19 23:11:30.441113+00
29,Aberlour 100° Mini 5cl,aberlour 100° mini 5cl,,SCOTCH_SINGLE_MALT,,,700,,14.61,14.61,14.61,1,2026-01-19 23:11:31.507156+00
30,Aberlour 12 Year Old 1L,aberlour 12 year old 1l,,SCOTCH_SINGLE_MALT,,,700,,53.20428571428572,43.81,65.72,7,2026-01-19 23:11:31.774067+00
31,Aberlour 17 Year Old Double Cask Distillery Only Release,aberlour 17 year old double cask distillery only release,,SCOTCH_SINGLE_MALT,,,700,,126.57666666666667,116.84,146.05,3,2026-01-19 23:11:32.038605+00
32,Aberlour 1963 30 Year Old James MacArthur Mini 5cl,aberlour 1963 30 year old james macarthur mini 5cl,,SCOTCH_SINGLE_MALT,,,700,,29.21,29.21,29.21,1,2026-01-19 23:11:32.835509+00
33,Aberlour 1989 Millennium Celebrations,aberlour 1989 millennium celebrations,,SCOTCH_SINGLE_MALT,,,700,,58.42,51.12,65.72,2,2026-01-19 23:11:33.100154+00
34,Aberlour A'Bunadh Batch #16,aberlour a'bunadh batch #16,,SCOTCH_SINGLE_MALT,,,700,,206.29500000000002,131.44,306.7,4,2026-01-19 23:11:33.36615+00
35,Aberlour A'Bunadh Batch #17,aberlour a'bunadh batch #17,,SCOTCH_SINGLE_MALT,,,700,,124.70461538461538,65.72,270.19,13,2026-01-19 23:11:33.895041+00
36,Aberlour A'Bunadh Batch #19,aberlour a'bunadh batch #19,,SCOTCH_SINGLE_MALT,,,700,,193.515,175.26,211.77,2,2026-01-19 23:11:34.158906+00
37,Aberlour A'Bunadh Batch #20,aberlour a'bunadh batch #20,,SCOTCH_SINGLE_MALT,,,700,,113.91600000000003,65.72,160.65,5,2026-01-19 23:11:34.426784+00
38,Aberfeldy 1983 26 Year Old OMC,aberfeldy 1983 26 year old omc,,SCOTCH_SINGLE_MALT,,,700,,116.84,116.84,116.84,1,2026-01-19 23:11:35.834999+00
39,Aberfeldy Ramble Single Cask 16 Year Old,aberfeldy ramble single cask 16 year old,,SCOTCH_SINGLE_MALT,,,700,,219.98874999999998,167.96,262.89,8,2026-01-19 23:11:37.168294+00
40,Aberfeldy Single Cask Bits of Strange,aberfeldy single cask bits of strange,,SCOTCH_SINGLE_MALT,,,700,,240.98,175.26,306.7,2,2026-01-19 23:11:37.431043+00
41,Aberfeldy Small Glass Decanter,aberfeldy small glass decanter,,SCOTCH_SINGLE_MALT,,,700,,43.81,43.81,43.81,1,2026-01-19 23:11:37.695399+00
42,Aberlour 12 Year Old in Leather Book,aberlour 12 year old in leather book,,SCOTCH_SINGLE_MALT,,,700,,43.81,43.81,43.81,1,2026-01-19 23:11:39.812358+00
43,A.R.M.A 1979 Barolo 75cl,a.r.m.a 1979 barolo 75cl,,SCOTCH_SINGLE_MALT,,,700,,80.33,80.33,80.33,1,2026-01-19 23:12:00.546209+00
44,Aberfeldy 14 Year Old Single Cask,aberfeldy 14 year old single cask,,SCOTCH_SINGLE_MALT,,,700,,233.68,233.68,233.68,1,2026-01-19 23:12:01.413739+00
45,Aberfeldy 1983 27 Year Old Creative Whisky Co,aberfeldy 1983 27 year old creative whisky co,,SCOTCH_SINGLE_MALT,,,700,,113.185,102.23,124.14,2,2026-01-19 23:12:01.63577+00
46,Aberfeldy 25 Year Old,aberfeldy 25 year old,,SCOTCH_SINGLE_MALT,,,700,,196.255625,65.72,335.92,16,2026-01-19 23:12:04.453779+00
47,A Compilation of Scotch Whisky Miniature Bottles by Jacky Drake,a compilation of scotch whisky miniature bottles by jacky drake,,SCOTCH_SINGLE_MALT,,,700,,36.51,36.51,36.51,1,2026-01-19 23:12:04.738779+00
48,Aberlour 12 Year Old,aberlour 12 year old,,SCOTCH_SINGLE_MALT,,,700,,43.812,36.51,58.42,5,2026-01-19 23:12:05.172335+00
49,Aberlour 16 Year Old,aberlour 16 year old,,SCOTCH_SINGLE_MALT,,,700,,65.72,58.42,73.02,5,2026-01-19 23:12:05.604301+00
50,Aberlour 2009 Creative Whisky Co,aberlour 2009 creative whisky co,,SCOTCH_SINGLE_MALT,,,700,,80.33,80.33,80.33,1,2026-01-19 23:12:06.035345+00
51,Aberlour A'Bunadh Batch #26,aberlour a'bunadh batch #26,,SCOTCH_SINGLE_MALT,,,700,,158.8275,131.44,175.26,4,2026-01-19 23:12:06.463688+00
52,Aberlour A'Bunadh Batch #32,aberlour a'bunadh batch #32,,SCOTCH_SINGLE_MALT,,,700,,105.885,65.72,182.56,8,2026-01-19 23:12:06.677881+00
53,Aberlour A'Bunadh Batch #39,aberlour a'bunadh batch #39,,SCOTCH_SINGLE_MALT,,,700,,167.96,167.96,167.96,1,2026-01-19 23:12:06.893362+00
54,Aberlour A'Bunadh Batch #40,aberlour a'bunadh batch #40,,SCOTCH_SINGLE_MALT,,,700,,146.05,87.63,204.47,3,2026-01-19 23:12:07.11044+00
55,Aberlour A'Bunadh Batch #45,aberlour a'bunadh batch #45,,SCOTCH_SINGLE_MALT,,,700,,97.36333333333333,65.72,182.56,9,2026-01-19 23:12:07.323836+00
56,Aberlour A'Bunadh Batch #50,aberlour a'bunadh batch #50,,SCOTCH_SINGLE_MALT,,,700,,88.67142857142858,58.42,131.44,7,2026-01-19 23:12:07.967216+00
57,Aberlour A'Bunadh Batch #51,aberlour a'bunadh batch #51,,SCOTCH_SINGLE_MALT,,,700,,58.42,58.42,58.42,1,2026-01-19 23:12:08.397463+00
58,Aberlour A'Bunadh Batch #52,aberlour a'bunadh batch #52,,SCOTCH_SINGLE_MALT,,,700,,58.42,58.42,58.42,1,2026-01-19 23:12:08.612622+00
59,Aberlour A'Bunadh Batch #6,aberlour a'bunadh batch #6,,SCOTCH_SINGLE_MALT,,,700,,171.61,146.05,197.17,2,2026-01-19 23:12:08.826199+00
60,100 Pipers Black Watch,100 pipers black watch,,SCOTCH_SINGLE_MALT,,,700,,21.91,21.91,21.91,1,2026-01-19 23:12:09.12334+00
61,1804 Weinbrand VSOP,1804 weinbrand vsop,,SCOTCH_SINGLE_MALT,,,700,,29.21,29.21,29.21,1,2026-01-19 23:12:09.337604+00
62,A Toast To The Millennium From Solectron Mini & Quaich Set,a toast to the millennium from solectron mini & quaich set,,SCOTCH_SINGLE_MALT,,,700,,21.91,21.91,21.91,1,2026-01-19 23:12:09.551432+00
63,Aberdeen Centenary Dram,aberdeen centenary dram,,SCOTCH_SINGLE_MALT,,,700,,131.44,131.44,131.44,1,2026-01-19 23:12:09.764139+00
64,Aberfeldy 21 Year Old Limited Edition Spirit,aberfeldy 21 year old limited edition spirit,,SCOTCH_SINGLE_MALT,,,700,,138.75,138.75,138.75,1,2026-01-19 23:12:10.854169+00
65,Aberfeldy Single Cask #Unravel,aberfeldy single cask #unravel,,SCOTCH_SINGLE_MALT,,,700,,489.265,452.75,525.78,2,2026-01-19 23:12:11.497535+00
66,Aberlour 10 Year Old 1L,aberlour 10 year old 1l,,SCOTCH_SINGLE_MALT,,,700,,48.68,36.51,65.72,3,2026-01-19 23:12:12.365171+00
67,Aberlour 10 Year Old in Tin,aberlour 10 year old in tin,,SCOTCH_SINGLE_MALT,,,700,,40.892,29.21,65.72,5,2026-01-19 23:12:12.579056+00
68,Aberlour 100 Proof 1L,aberlour 100 proof 1l,,SCOTCH_SINGLE_MALT,,,700,,102.23250000000002,73.02,116.84,4,2026-01-19 23:12:12.79164+00
69,Aberlour 15 Year Old,aberlour 15 year old,,SCOTCH_SINGLE_MALT,,,700,,59.54384615384615,36.51,80.33,13,2026-01-19 23:12:13.004657+00
70,Aberlour 15 Year Old 1L,aberlour 15 year old 1l,,SCOTCH_SINGLE_MALT,,,700,,67.17999999999999,65.72,73.02,5,2026-01-19 23:12:13.221194+00
71,A. Rothschild 1964 Brut Vintage Champagne 77cl,a. rothschild 1964 brut vintage champagne 77cl,,SCOTCH_SINGLE_MALT,,,700,,160.65,160.65,160.65,1,2026-01-19 23:12:13.515397+00
72,Aberfeldy 1966 16 Year Old CC 75cl,aberfeldy 1966 16 year old cc 75cl,,SCOTCH_SINGLE_MALT,,,700,,292.1,292.1,292.1,1,2026-01-19 23:12:13.730667+00
73,Aberfeldy Distillery Model Kit,aberfeldy distillery model kit,,SCOTCH_SINGLE_MALT,,,700,,43.81,43.81,43.81,2,2026-01-19 23:12:14.161686+00
74,Aberlour 10 Year Old In Suede Pouch,aberlour 10 year old in suede pouch,,SCOTCH_SINGLE_MALT,,,700,,43.81,43.81,43.81,1,2026-01-19 23:12:14.594136+00
75,Aberlour 16 Year Old Farrmoor Vintage Edition,aberlour 16 year old farrmoor vintage edition,,SCOTCH_SINGLE_MALT,,,700,,58.42,58.42,58.42,1,2026-01-19 23:12:14.810353+00
76,Aberlour 1989 Millennium Dunnage Reserve,aberlour 1989 millennium dunnage reserve,,SCOTCH_SINGLE_MALT,,,700,,80.33,80.33,80.33,1,2026-01-19 23:12:15.024661+00
77,Aberlour A'Bunadh Batch #24,aberlour a'bunadh batch #24,,SCOTCH_SINGLE_MALT,,,700,,314.005,87.63,540.38,2,2026-01-19 23:12:16.097998+00
